Fixation,First_Operand,Second_Operand,Solution,Correct_answer
Fixation_Point3.jpg,E6_450ms.mp3,E3_450ms.mp3,21,ArrowRight
Fixation_Point3.jpg,E7_450ms.mp3,E2_450ms.mp3,14,ArrowLeft
Fixation_Point3.jpg,E5_450ms.mp3,E2_450ms.mp3,10,ArrowLeft
Fixation_Point3.jpg,E6_450ms.mp3,E9_450ms.mp3,45,ArrowRight
Fixation_Point3.jpg,E4_450ms.mp3,E6_450ms.mp3,18,ArrowRight
Fixation_Point3.jpg,E8_450ms.mp3,E4_450ms.mp3,32,ArrowLeft
Fixation_Point3.jpg,E3_450ms.mp3,E8_450ms.mp3,16,ArrowRight
Fixation_Point3.jpg,E6_450ms.mp3,E5_450ms.mp3,30,ArrowLeft
Fixation_Point3.jpg,E4_450ms.mp3,E3_450ms.mp3,15,ArrowRight
Fixation_Point3.jpg,E9_450ms.mp3,E4_450ms.mp3,40,ArrowRight
Fixation_Point3.jpg,E6_450ms.mp3,E7_450ms.mp3,42,ArrowLeft
Fixation_Point3.jpg,E5_450ms.mp3,E9_450ms.mp3,45,ArrowLeft
Fixation_Point3.jpg,E5_450ms.mp3,E3_450ms.mp3,15,ArrowLeft
Fixation_Point3.jpg,E9_450ms.mp3,E3_450ms.mp3,27,ArrowLeft
Fixation_Point3.jpg,E9_450ms.mp3,E5_450ms.mp3,50,ArrowRight
Fixation_Point3.jpg,E7_450ms.mp3,E4_450ms.mp3,32,ArrowRight
Fixation_Point3.jpg,E2_450ms.mp3,E3_450ms.mp3,6,ArrowLeft
Fixation_Point3.jpg,E8_450ms.mp3,E6_450ms.mp3,48,ArrowLeft
Fixation_Point3.jpg,E3_450ms.mp3,E6_450ms.mp3,18,ArrowLeft
Fixation_Point3.jpg,E2_450ms.mp3,E4_450ms.mp3,12,ArrowRight
Fixation_Point3.jpg,E9_450ms.mp3,E6_450ms.mp3,54,ArrowLeft
Fixation_Point3.jpg,E2_450ms.mp3,E3_450ms.mp3,9,ArrowRight
Fixation_Point3.jpg,E8_450ms.mp3,E2_450ms.mp3,16,ArrowLeft
Fixation_Point3.jpg,E9_450ms.mp3,E4_450ms.mp3,36,ArrowLeft
Fixation_Point3.jpg,E8_450ms.mp3,E2_450ms.mp3,14,ArrowRight
Fixation_Point3.jpg,E3_450ms.mp3,E5_450ms.mp3,20,ArrowRight
Fixation_Point3.jpg,E2_450ms.mp3,E5_450ms.mp3,10,ArrowLeft
Fixation_Point3.jpg,E3_450ms.mp3,E7_450ms.mp3,14,ArrowRight
